state,phi_total,phi_mc_abs,phi_pore,lambda_basic,lambda_dual,delta_lambda_abs,delta_lambda_pct,alpha_basic,alpha_pore,alpha_mc
oil,0.1347,0.0025,0.13219999999999998,4.0527384678423735,3.5319733932079265,-0.520765074634447,-12.849708382778909,0.5,0.5,0.0001
oil,0.1376,0.0025,0.1351,4.033782402532691,3.516137469685581,-0.51764493284711,-12.832743097944407,0.5,0.5,0.0001
oil,0.1405,0.0025,0.138,4.014882587132316,3.5003424812446693,-0.5145401058876469,-12.815819509560404,0.5,0.5,0.0001
oil,0.1434,0.0025,0.1409,3.9960387716396224,3.4845882693673214,-0.511450502272301,-12.798937435295374,0.5,0.5,0.0001
oil,0.14629999999999999,0.0025,0.14379999999999998,3.9772507075322943,3.468874676353076,-0.5083760311792185,-12.782096693488125,0.5,0.5,0.0001
oil,0.1492,0.0025,0.1467,3.958518147756403,3.453201545313617,-0.505316602442786,-12.765297103139158,0.5,0.5,0.0001
oil,0.1521,0.0025,0.1496,3.939840846715576,3.4375687201675573,-0.5022721265480188,-12.748538483901825,0.5,0.5,0.0001
oil,0.155,0.0025,0.1525,3.9212185602602663,3.4219760456352515,-0.4992425146250148,-12.731820656073763,0.5,0.5,0.0001
oil,0.15789999999999998,0.0025,0.15539999999999998,3.902651045677111,3.406423367233658,-0.49622767844345317,-12.715143440588026,0.5,0.5,0.0001
oil,0.1608,0.0025,0.1583,3.884138061678387,3.390910531271235,-0.49322753040715206,-12.69850665900434,0.5,0.5,0.0001
oil,0.1637,0.0025,0.1612,3.865679368391562,3.375437384842881,-0.49024198354868087,-12.681910133500327,0.5,0.5,0.0001
oil,0.1666,0.0025,0.1641,3.8472747273489296,3.360003775824908,-0.48727095152402145,-12.66535368686262,0.5,0.5,0.0001
oil,0.16949999999999998,0.0025,0.16699999999999998,3.8289239014773466,3.3446095528700575,-0.48431434860728917,-12.648837142478124,0.5,0.5,0.0001
oil,0.1724,0.0025,0.1699,3.810626655088044,3.3292545654025534,-0.4813720896854905,-12.632360324324884,0.5,0.5,0.0001
oil,0.1753,0.0025,0.1728,3.7923827538665456,3.3139386636131922,-0.4784440902533533,-12.615923056963407,0.5,0.5,0.0001
oil,0.1782,0.0025,0.1757,3.774191964862664,3.2986616984544703,-0.47553026640819374,-12.599525165527648,0.5,0.5,0.0001
oil,0.18109999999999998,0.0025,0.17859999999999998,3.756054056480581,3.2834235216357506,-0.4726305348448303,-12.583166475715865,0.5,0.5,0.0001
oil,0.184,0.0025,0.1815,3.7379687984690246,3.268223985618464,-0.4697448128505606,-12.56684681378175,0.5,0.5,0.0001
oil,0.1869,0.0025,0.1844,3.7199359619115206,3.2530629436113445,-0.46687301830017613,-12.55056600652527,0.5,0.5,0.0001
oil,0.1898,0.0025,0.1873,3.7019553192167405,3.23794024956571,-0.46401506965103057,-12.534323881283548,0.5,0.5,0.0001
oil,0.19269999999999998,0.0025,0.19019999999999998,3.684026644108919,3.2228557581707666,-0.46117088593815225,-12.518120265921661,0.5,0.5,0.0001
oil,0.1956,0.0025,0.1931,3.666149711618369,3.2078093248489576,-0.45834038676941136,-12.501954988823508,0.5,0.5,0.0001
oil,0.1985,0.0025,0.196,3.6483242980720685,3.192800805751344,-0.45552349232072453,-12.485827878882443,0.5,0.5,0.0001
oil,0.2014,0.0025,0.1989,3.6305501810843315,3.1778300577530194,-0.45272012333131206,-12.469738765491979,0.5,0.5,0.0001
oil,0.20429999999999998,0.0025,0.20179999999999998,3.6128271395475617,3.162896938448561,-0.4499302010990007,-12.453687478536434,0.5,0.5,0.0001
oil,0.2072,0.0025,0.2047,3.595154953623082,3.148001306147513,-0.44715364747556885,-12.437673848381465,0.5,0.5,0.0001
oil,0.2101,0.0025,0.2076,3.577533404732046,3.1331430198699093,-0.44439038486213667,-12.4216977058645,0.5,0.5,0.0001
oil,0.213,0.0025,0.2105,3.559962275546426,3.1183219393418202,-0.44164033620460597,-12.405758882285282,0.5,0.5,0.0001
