state,phi_total,phi_mc_abs,delta_lambda_pct
dry,0.060000000000000005,0.0037312499999999998,-13.36361684128584
dry,0.060000000000000005,0.0037999999999999996,-13.576203595182088
dry,0.060000000000000005,0.0038687499999999994,-13.787741896397492
dry,0.060000000000000005,0.0039375,-13.998239482119192
dry,0.060000000000000005,0.004006249999999999,-14.207704013591083
dry,0.060000000000000005,0.004075,-14.416143077043305
dry,0.060000000000000005,0.00414375,-14.623564184608126
dry,0.060000000000000005,0.004212499999999999,-14.829974775222391
dry,0.060000000000000005,0.0042812499999999995,-15.035382215516847
dry,0.060000000000000005,0.00435,-15.239793800692508
dry,0.060000000000000005,0.004418749999999999,-15.443216755384414
dry,0.060000000000000005,0.0044875,-15.64565823451263
dry,0.060000000000000005,0.0045562499999999995,-15.847125324121333
dry,0.060000000000000005,0.004624999999999999,-16.047625042205418
dry,0.060000000000000005,0.00469375,-16.24716433952553
dry,0.060000000000000005,0.004762499999999999,-16.445750100411264
dry,0.060000000000000005,0.004831249999999999,-16.643389143552852
dry,0.060000000000000005,0.0049,-16.840088222781695
dry,0.060000000000000005,0.004968749999999999,-17.035854027839644
dry,0.060000000000000005,0.005037499999999999,-17.230693185137405
dry,0.060000000000000005,0.00510625,-17.424612258502254
dry,0.060000000000000005,0.005174999999999999,-17.61761774991513
dry,0.060000000000000005,0.00524375,-17.809716100237253
dry,0.060000000000000005,0.0053124999999999995,-18.000913689926737
dry,0.060000000000000005,0.005381249999999999,-18.191216839744914
dry,0.060000000000000005,0.00545,-18.380631811452982
dry,0.060000000000000005,0.005518749999999999,-18.56916480849868
dry,0.060000000000000005,0.005587499999999999,-18.756821976693608
dry,0.060000000000000005,0.00565625,-18.943609404881084
dry,0.060000000000000005,0.005724999999999999,-19.12953312559458
dry,0.060000000000000005,0.0057937499999999986,-19.314599115707253
dry,0.060000000000000005,0.0058625,-19.498813297072406
dry,0.060000000000000005,0.005931249999999999,-19.6821815371551
dry,0.060000000000000005,0.006,-19.8647096496552
dry,0.0625,0.0005,-2.0204168538847225
dry,0.0625,0.00056875,-2.2918161012243523
dry,0.0625,0.0006375,-2.5617060878997124
dry,0.0625,0.00070625,-2.830099368578968
dry,0.0625,0.000775,-3.0970083590686173
dry,0.0625,0.00084375,-3.3624453382280604
dry,0.0625,0.0009124999999999999,-3.626422449852571
dry,0.0625,0.00098125,-3.8889517045252124
dry,0.0625,0.00105,-4.150044981438619
dry,0.0625,0.00111875,-4.409714030186586
dry,0.0625,0.0011875,-4.667970472526726
dry,0.0625,0.00125625,-4.924825804114377
dry,0.0625,0.0013249999999999998,-5.1802913962082195
dry,0.0625,0.00139375,-5.434378497348425
dry,0.0625,0.0014624999999999998,-5.687098235007728
dry,0.0625,0.0015312499999999998,-5.938461617215785
dry,0.0625,0.0015999999999999999,-6.188479534157523
dry,0.0625,0.0016687499999999999,-6.437162759745943
dry,0.0625,0.0017375,-6.684521953169743
dry,0.0625,0.00180625,-6.930567660416259
dry,0.0625,0.001875,-7.175310315770219
dry,0.0625,0.0019437499999999997,-7.4187602432888635
dry,0.0625,0.0020124999999999995,-7.660927658253616
dry,0.0625,0.0020812499999999998,-7.901822668598845
dry,0.0625,0.00215,-8.141455276318359
dry,0.0625,0.00221875,-8.379835378849707
dry,0.0625,0.0022874999999999996,-8.61697277043667
